Book Title,Author,Reason for Recommendation,Category,Link
Team of Teams: New Rules of Engagement for a Complex World,General Stanley McChrystal,how the US military had to move from a top down management model in order to handle the dynamic middle east situation,Leadership,http://a.co/d/egFsU2b
Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Scott,real world experiences of being an open leader,Leadership,http://a.co/d/2TD9jyn
Radical Inclusion: What the Post-9/11 World Should Have Taught Us About Leadership,General Martin Dempsey,another lessons learned from the US military in the middle east,"Leadership, Inclusion",http://a.co/d/aB9n6mW
Principles: Life and Work,Ray Dalio,This is actually 3 books in one - how he built a company using transparency and meritocracy,"Leadership, Culture",http://a.co/d/4NCwhws
Brotopia: Breaking Up the Boys' Club of Silicon Valley,Emily Chang,Every man should read this book to get a perspective that we are excluded from because of our gender,"Diversity, Inclusion, Hiring, People",http://a.co/d/2HsHXk7
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,a classic on how people work together as a team - it is written as a fable and so is easy reading,"Teamwork, Leadership",http://a.co/d/dC2SsIx
The Four Obsessions of an Extraordinary Executive: A Leadership Fable,Patrick Lencioni,another fable book - how execs can empower people and achieve a great working environment while still delivering the results,"Leadership, Hiring, Values",http://a.co/d/dFicSi4
Mindset: The New Psychology of Success,Carol Dweck,great book on how research has identified the fixed vs growth mindset,"Learning, Growth",http://a.co/d/iGUdcEw
Nonviolent Communication,Marshall B. Rosenberg,"required reading for all Satya Nadella's direct reportsThis is one of Gavin's areas of growth, especially chapters 7 to 10 - please help him learn and improve when he deviates","Communication, People",http://a.co/d/9bnI79C
A Gift of Love: Sermons from Strength to Love and Other Preachings,Martin Luther King,MLK was eloquent and here are some of writings that are still very aplicable to us today,"People, wisdom",https://www.amazon.com/dp/B007WKEM7
Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,The foreward is a great summary of leadership - great information in some of the chapters ,"People, Leadership",https://www.amazon.com/dp/1591848016
The 5 Levels of Leadership: Proven Steps to Maximize Your Potential,John Maxwell,Mandatory reading for managers or people leaders,"People, Leadership",https://www.amazon.com/dp/B004QZ9P7O
